conversation_id,scenario,layer,cka,baseline
T0/test/16,T0,11,0.27436078,cka
T0/test/16,T0,12,0.31242192,cka
T0/test/16,T0,13,0.33251286,cka
T0/test/16,T0,14,0.2978535,cka
T0/test/16,T0,15,0.30335304,cka
T0/test/16,T0,16,0.2738739,cka
T0/test/16,T0,17,0.23535377,cka
T0/test/16,T0,18,0.22428815,cka
T0/test/16,T0,19,0.20449713,cka
T0/test/16,T0,20,0.19876616,cka
T0/test/16,T0,21,0.20032173,cka
T0/test/16,T0,22,0.16923708,cka
T0/test/16,T0,23,0.15866573,cka
T0/test/16,T0,24,0.15603536,cka
T0/test/16,T0,25,0.15910687,cka
T0/test/16,T0,26,0.1503327,cka
T0/test/16,T0,27,0.14928727,cka
T0/test/16,T0,28,0.14219312,cka
T0/test/16,T0,29,0.1488369,cka
T0/test/16,T0,30,0.15565266,cka
T0/test/16,T0,31,0.17032504,cka
T0/test/17,T0,0,0.5034724,cka
T0/test/17,T0,1,0.57430166,cka
T0/test/17,T0,2,0.5718819,cka
T0/test/17,T0,3,0.5596257,cka
T0/test/17,T0,4,0.47620454,cka
T0/test/17,T0,5,0.4490521,cka
T0/test/17,T0,6,0.3515359,cka
T0/test/17,T0,7,0.3763228,cka
T0/test/17,T0,8,0.35776204,cka
T0/test/17,T0,9,0.29629213,cka
T0/test/17,T0,10,0.20588134,cka
T0/test/17,T0,11,0.21251427,cka
T0/test/17,T0,12,0.19952933,cka
T0/test/17,T0,13,0.21075034,cka
T0/test/17,T0,14,0.16778487,cka
T0/test/17,T0,15,0.18749918,cka
T0/test/17,T0,16,0.15794255,cka
T0/test/17,T0,17,0.12287204,cka
T0/test/17,T0,18,0.10879431,cka
T0/test/17,T0,19,0.10566022,cka
T0/test/17,T0,20,0.0981242,cka
T0/test/17,T0,21,0.098613985,cka
T0/test/17,T0,22,0.09982608,cka
T0/test/17,T0,23,0.09745445,cka
T0/test/17,T0,24,0.09087494,cka
T0/test/17,T0,25,0.088283315,cka
T0/test/17,T0,26,0.09454199,cka
T0/test/17,T0,27,0.09210315,cka
T0/test/17,T0,28,0.09146889,cka
T0/test/17,T0,29,0.09210043,cka
T0/test/17,T0,30,0.10429506,cka
T0/test/17,T0,31,0.12017972,cka
T0/test/18,T0,0,0.5600076,cka
T0/test/18,T0,1,0.7397373,cka
T0/test/18,T0,2,0.6461192,cka
T0/test/18,T0,3,0.59670603,cka
T0/test/18,T0,4,0.47031623,cka
T0/test/18,T0,5,0.3799021,cka
T0/test/18,T0,6,0.3431718,cka
T0/test/18,T0,7,0.34176147,cka
T0/test/18,T0,8,0.3289139,cka
T0/test/18,T0,9,0.26354793,cka
T0/test/18,T0,10,0.2334858,cka
T0/test/18,T0,11,0.21619493,cka
T0/test/18,T0,12,0.2436401,cka
T0/test/18,T0,13,0.21457861,cka
T0/test/18,T0,14,0.15896375,cka
T0/test/18,T0,15,0.13776428,cka
T0/test/18,T0,16,0.10466927,cka
T0/test/18,T0,17,0.10559683,cka
T0/test/18,T0,18,0.0931318,cka
T0/test/18,T0,19,0.08955675,cka
T0/test/18,T0,20,0.081391364,cka
T0/test/18,T0,21,0.08155416,cka
T0/test/18,T0,22,0.07965182,cka
T0/test/18,T0,23,0.06886658,cka
T0/test/18,T0,24,0.07446305,cka
T0/test/18,T0,25,0.07683358,cka
T0/test/18,T0,26,0.065464206,cka
T0/test/18,T0,27,0.054553658,cka
T0/test/18,T0,28,0.05035666,cka
T0/test/18,T0,29,0.048573397,cka
T0/test/18,T0,30,0.044048034,cka
T0/test/18,T0,31,0.044185635,cka
T0/test/19,T0,0,0.6534822,cka
T0/test/19,T0,1,0.81372315,cka
T0/test/19,T0,2,0.75369,cka
T0/test/19,T0,3,0.67785865,cka
T0/test/19,T0,4,0.5641128,cka
T0/test/19,T0,5,0.45796666,cka
T0/test/19,T0,6,0.417292,cka
T0/test/19,T0,7,0.38700294,cka
T0/test/19,T0,8,0.31775692,cka
T0/test/19,T0,9,0.30560735,cka
T0/test/19,T0,10,0.28881326,cka
T0/test/19,T0,11,0.32372567,cka
T0/test/19,T0,12,0.34929052,cka
T0/test/19,T0,13,0.3501741,cka
T0/test/19,T0,14,0.29429528,cka
T0/test/19,T0,15,0.29928848,cka
T0/test/19,T0,16,0.25275326,cka
T0/test/19,T0,17,0.23270255,cka
T0/test/19,T0,18,0.22311299,cka
T0/test/19,T0,19,0.2009719,cka
T0/test/19,T0,20,0.17454702,cka
T0/test/19,T0,21,0.17751336,cka
T0/test/19,T0,22,0.17025334,cka
T0/test/19,T0,23,0.16093232,cka
T0/test/19,T0,24,0.14726758,cka
T0/test/19,T0,25,0.14819266,cka
T0/test/19,T0,26,0.15637456,cka
T0/test/19,T0,27,0.15440372,cka
T0/test/19,T0,28,0.1492254,cka
T0/test/19,T0,29,0.14489548,cka
T0/test/19,T0,30,0.15492067,cka
T0/test/19,T0,31,0.22204715,cka
T0/test/20,T0,0,0.7229484,cka
T0/test/20,T0,1,0.7734104,cka
T0/test/20,T0,2,0.6952785,cka
T0/test/20,T0,3,0.62141436,cka
T0/test/20,T0,4,0.49864396,cka
T0/test/20,T0,5,0.40633538,cka
T0/test/20,T0,6,0.30049276,cka
T0/test/20,T0,7,0.3644794,cka
T0/test/20,T0,8,0.34813946,cka
T0/test/20,T0,9,0.27982005,cka
T0/test/20,T0,10,0.26826257,cka
T0/test/20,T0,11,0.27436078,cka
T0/test/20,T0,12,0.31242192,cka
T0/test/20,T0,13,0.33251286,cka
T0/test/20,T0,14,0.2978535,cka
T0/test/20,T0,15,0.30335304,cka
T0/test/20,T0,16,0.2738739,cka
T0/test/20,T0,17,0.23535377,cka
T0/test/20,T0,18,0.22428815,cka
T0/test/20,T0,19,0.20449713,cka
T0/test/20,T0,20,0.19876616,cka
